date,total_cases,total_deaths
2020-03-13,1663,40
2020-03-14,2174,47
2020-03-15,2951,57
2020-03-16,3774,69
2020-03-17,4661,85
2020-03-18,6427,108
2020-03-19,9415,150
2020-03-20,14250,150
2020-03-21,19624,260
2020-03-22,26747,340
2020-03-23,35206,471
2020-03-24,46442,590
2020-03-25,55231,801
2020-03-26,69194,1050
2020-03-27,85991,1296
2020-03-28,104686,1707
2020-03-29,124665,2191
2020-03-30,143025,2509
2020-03-31,164620,3170
2020-04-01,189618,4079
2020-04-02,216721,5138
2020-04-03,245540,6053
2020-04-04,277965,7157
2020-04-05,312237,8501
2020-04-06,337635,9647
2020-04-07,368196,10989
2020-04-08,398809,12895
2020-04-09,432132,14817
2020-04-10,466033,16690
2020-04-11,501560,18777
2020-04-12,529951,20608
2020-04-13,557571,22108
2020-04-14,582594,23649
2020-04-15,609516,26057
2020-04-16,639664,30985
2020-04-17,671331,33284
2020-04-18,702164,37054
2020-04-19,735086,38910
2020-04-20,759687,40682
2020-04-21,787752,42539
2020-04-22,825041,45063
2020-04-23,842629,46784
2020-04-24,869172,49963
2020-04-25,890524,51017
2020-04-26,939053,53189
2020-04-27,965910,54876
2020-04-28,988451,56245
2020-04-29,1012583,58355
2020-04-30,1039909,60966
2020-05-01,1069826,63006
2020-05-02,1103781,65068
2020-05-03,1133069,66385
2020-05-04,1158041,67682
2020-05-05,1180634,68934
2020-05-06,1204475,71078
2020-05-07,1228603,73431
2020-05-08,1256972,75670
2020-05-09,1283929,77180
2020-05-10,1309541,78794
2020-05-11,1329799,79528
2020-05-12,1347916,80684
2020-05-13,1369964,82387
2020-05-14,1390746,84133
2020-05-15,1417889,85906
2020-05-16,1443397,87568
2020-05-17,1467884,88754
2020-05-18,1486757,89562
2020-05-19,1508598,90353
2020-05-20,1528568,91921
2020-05-21,1551853,93439
2020-05-22,1577287,94702
2020-05-23,1601434,96007
2020-05-24,1622670,97087
2020-05-25,1643238,97720
2020-05-26,1662302,98220
2020-05-27,1681212,98916
2020-05-28,1699933,100442
2020-05-29,1721750,101617
2020-05-30,1747087,102836
